work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,company_size,employee_residence,remote_ratio,company_location
2021e,MI,FL,Data Engineer,20000,USD,20000,L,IT,0,US
2020,EX,FT,Director of Data Science,325000,USD,325000,L,US,100,US
2021e,SE,FT,Machine Learning Engineer,200000,USD,200000,L,US,100,US
2020,EN,FT,AI Scientist,300000,DKK,45896,S,DK,50,DK
2021e,MI,FT,Data Scientist,160000,USD,160000,L,US,100,US
2021e,SE,FT,Research Scientist,50000,USD,50000,S,FR,100,US
2021e,MI,FT,Data Science Engineer,34000,EUR,40529,M,GR,100,GR
2021e,EX,FT,Principal Data Engineer,600000,USD,600000,L,US,100,US
2021e,MI,FT,Data Scientist,69600,BRL,13000,S,BR,0,BR
2021e,SE,FT,Data Engineer,165000,USD,165000,M,US,0,US
2021e,EN,FT,Big Data Engineer,435000,INR,5898,L,IN,0,CH
2020,MI,FT,Data Scientist,37000,EUR,42197,S,FR,50,FR
2021e,SE,FT,Principal Data Engineer,185000,USD,185000,L,US,100,US
2020,EN,FT,Data Scientist,55000,EUR,62726,S,DE,50,DE
2021e,MI,FT,Data Scientist,76760,EUR,91500,L,DE,50,DE
2020,EN,PT,Data Scientist,19000,EUR,21669,S,IT,50,IT
2020,MI,FT,Data Engineer,110000,USD,110000,L,US,100,US
2021e,SE,FT,Data Analytics Manager,140000,USD,140000,L,US,100,US
2020,SE,FT,Data Scientist,120000,USD,120000,L,US,50,US
2021e,SE,FT,Data Scientist,110000,CAD,87961,S,CA,100,CA
2021e,SE,FT,Finance Data Analyst,45000,GBP,62250,L,GB,50,GB
2021e,MI,FL,Machine Learning Scientist,12000,USD,12000,M,PK,50,PK
2021e,SE,FT,Data Engineer,65000,EUR,77481,S,RO,50,GB
2021e,MI,FT,Machine Learning Engineer,74000,USD,74000,S,JP,50,JP
2021e,SE,FT,Data Science Manager,152000,USD,152000,L,US,100,FR
2021e,MI,FT,Big Data Engineer,18000,USD,18000,S,MD,0,MD
2020,SE,FL,Computer Vision Engineer,60000,USD,60000,S,RU,100,US
2021e,MI,FT,Data Scientist,130000,USD,130000,L,US,50,US
2021e,SE,FT,Computer Vision Engineer,102000,BRL,19052,M,BR,0,BR
2021e,EN,FT,Business Data Analyst,50000,EUR,59601,L,LU,100,LU
2021e,SE,FT,Principal Data Scientist,147000,EUR,175228,M,DE,100,DE
2020,SE,FT,Principal Data Scientist,130000,EUR,148261,M,DE,100,DE
2020,MI,FT,Data Scientist,34000,EUR,38776,M,ES,100,ES
2021e,MI,FT,Data Scientist,39600,EUR,47204,M,ES,100,ES
2021e,EN,FT,Data Scientist,4000,USD,4000,M,VN,0,VN
